category_id;category
1;Pasta & Macaroni
2;Marine Water Fish
3;Syrups
4;Leafy Vegetables
5;Beverages
6;Breakfast
7;Ground Coffee
8;Chocolates
9;Cheese
10;Flakes
11;Fresh Mutton
12;Tomato Ketchup
13;Tea
14;Fresh Chicken
15;Cakes
16;Peeled Veggies
17;Green Tea
18;Fruits
19;Juices
20;Sauces
21;Sausages
22;Bagels
23;Soya Milk
24;Instant Noodles
25;Granola & Cereal Bars
26;Sweets
27;Prawns & Shrimps
28;Ice Creams
29;Vegan
30;Eggs
31;Chips
32;Instant Drinks
33;Croissants
34;Farm Products
35;Dairy
36;Chicken Sausages
37;Meat
38;Other Seafood
39;Fresh Water Fish
40;Butter & Margarine
41;Leaf Tea
42;Dairy Free
43;Black Tea
44;Cold Drinks
45;Chikkis
46;Fish
47;Cereals
48;Bread
49;Instant Coffee
50;Wafers
51;Biscuits
52;Instant Pasta
53;Vegetables
54;Bakery
55;Yogurts
56;Honey
57;Marinated Meat
58;Cookies
59;Muesli
60;Frozen Vegetables
61;Curd
62;Snacks
