product_id;product_name;brand
1;Onion;Fresho
2;Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free;Fresho
3;Potato;Fresho
4;Eggs - Regular;Fresho
5;Tea;Red Label
6;2-Minute Instant Noodles - Masala;MAGGI 
7;2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre;MAGGI 
8;Tender Coconut Water - No Added Sugar, Flavours;Fresho
9;Frozen Green Peas;Fresho
10;Tea - Natural Care;Red Label
11;Black Tea;Taj Mahal
12;Rich & Flavourful Tea;Taj Mahal
13;Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea;Tata Tea Gold
14;Green Tea;Tata Tea Gold
15;Sunrise Instant Coffee - Chicory Mixture;Nescafe 
16;Sunrise Rich Aroma;Nescafe 
17;Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong;Nescafe 
18;Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour;Nescafe 
19;Pasteurised Butter;Amul
20;Farm Fresh Curd/Dahi - Premium, No Preservatives;Milky Mist
21;Black Soft Drink - Max Taste, Zero Sugar(Diet);Pepsi
22;Ridge Gourd;Fresho
23;Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook;Quaker
24;Oats - Multigrain, Breakfast Cereal, Rich In Fibre & Calcium, Good For Heart;Quaker
25;Rolled Oats - Rich In Protein, Nutritious, Easy To Cook;Quaker
26;Cucumber 1pc;Fresho
27;Soft Drink;Mountain Dew
28;Methi/Venthaya Keerai - Cleaned, without roots;Fresho
29;Methi - With roots;Fresho
30;BB Royal Organic  Kashmir Honey, 500 g ;bb Combo
31;Chicken Breast - Boneless, Antibiotic Residue-Free, 4 To 6 pcs;Fresho
32;Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs;Fresho
33;Chicken Breast - Boneless, Antibiotic Residue-Free, 1 To 2 pcs;Fresho
34;Cabbage 1pc;Fresho
35;Chicken Curry Cut Without Skin 500 g + Chicken Breast - Boneless 500 g;Fresho
36;Curry Leaves;Fresho
37;Mint Leaves - Cleaned, without roots;Fresho
38;Chicken Curry Cut Without Skin 500 g + Mutton - Curry Cut 500 g;Fresho
39;Cold Extracted Juice - Valencia Orange;Raw Pressery
40;Valencia Orange  - 100% Natural Cold Pressed Juice;Raw Pressery
41;Spring Onion - With roots;Fresho
42;Chicken Curry Cut Without Skin 500 g + Catla Fish Large Curry Cut 500 g;Fresho
43;Chicken Curry Cut Without Skin 500 g + Mackerel Fish Large Whole Cleaned 500 g;Fresho
44;Chicken Curry Cut Without Skin 500 g + Chicken Lollipop 500 g;Fresho
45;Garlic - Peeled;Fresho
46;Coconut;Fresho
47;Chocos - Moons & Stars;Kelloggs
48;Frozen Green Peas;Yummiez
49;Emperia Premium Tea 500g;bb Combo
50;Frozen Sweet Corn;Fresho
51;India's No.1 Juice - Litchi;Real
52;Fruit Power - Litchi;Real
53;Pomegranate;Fresho
54;Chocolate Home - Treats Pack;Cadbury Dairy Milk
55;Filter Coffee - Grand, Rich & Aromatic;Tata Coffee
56;100% Pure Honey;BB Royal
57;Snake Gourd;Fresho
58;Tomato Ketchup - Classic Blend, Rich & Thick Condiment;Del Monte
59;Almond Drink - Unsweetened, Dairy Free;Epigamia 
60;Mutton - Curry Cut, From Whole Carcass Antibiotic Residue-Free, Growth Hormone-Free,10-15 pcs;Fresho
61;Mutton - Curry Cut, From Whole Carcass, Antibiotic Residue-Free, 28 to 34 pcs;Fresho
62;Mutton - Curry Cut, Antibiotic Residue-Free, Growth Hormone-Free, 7 To 9 pcs;Fresho
63;Chicken Breast - Boneless 500 g + Chicken Drumstick Without Skin 500 g;Fresho
64;5 Star Chocolate Home Pack, 200 g, 20 units;Cadbury
65;Pineapple;Fresho
66;3 Minute Breakfast - Poha;MTR
67;Cold Extracted Juice - Sugarcane;Raw Pressery
68;Rohu Fish - Large, Curry Cut/Bengali Cut With Head & Tail, Preservative Free, 12-16 pcs;Fresho
69;Chicken Liver - Antibiotic Residue-Free, 15 To 20 pcs;Fresho
70;Dark Fantasy Belgian Chocolate Shake - Rich In Calcium & Protein, Thick, Creamy;Sunfeast
71;Dark Fantasy Chocolate Milkshake - With Real Belgian Chocolate, Thick & Creamy;Sunfeast
72;Chocolate Milkshake - With Zinc, Vitamin A & D Added, Supports Immunity;Cavins
73;Chocolate Milkshake - With Zinc, Vitamin A & D Added, Immunity Booster;Cavins
74;Noodles - Curry Veg;Top Ramen 
75;Chicken Breast - Boneless 500 g + Chicken Seekh Kabab Regular 500 g;Fresho
76;Dill Leaves;Fresho
77;Sambar Onion;Fresho
78;Chicken Leg - Without Skin;Fresho
79;Catla Fish Large Curry Cut 1kg+Chicken Breast Boneless 500G+Chicken Mince 500G;Fresho
80;Pure Honey;Saffola
81;Honey 100% Pure & Natural, Super Value Pack - 2 x 300g;Saffola
82;Soya Drink Sugar Free;Sofit 
83;Natural Soy Drink (Tetra Pak);Sofit 
84;Organic Curd;AKSHAYAKALPA
85;Chocolate Syrup;Hersheys 
86;Sugarcane Juice - Cold-Pressed, No Added Sugar, Preservative Free;Fresho Signature
87;Basa Fish Fillet - Preservative Free, 2 To 4 pcs;Fresho
88;Basa Fish Fillet - Fresh Chilled, Preservative Free;Fresho
89;Green Peas;Fresho
90;Assorted Cookies;Unibic
91;Apple Carrot Beetroot Juice - Cold-Pressed, No Added Sugar, Preservative Free;Fresho Signature
92;Chilli Chicken Pieces - Boneless, Antibiotic Residue-Free, 7 To 9 Pcs;Fresho
93;Chilli Chicken Pieces - Boneless, Antibiotic Residue-Free, 14 To 18 pcs;Fresho
94;Chilli Chicken Pieces - Boneless, Antibiotic Residue-Free, 28 To 34 pcs;Fresho
95;Kadak Tea;Emperia
96;Baby Corn - Peeled;Fresho
97;Soya Drink Vanilla;Sofit 
98;Vanilla Soy Drink (Tetra Pak);Sofit 
99;3 Minute Breakfast Vegetable Upma;MTR
100;Muesli - With 0% Added Sugar;Kelloggs
101;Vanilla Milkshake With Real Vanilla Extracts;Sunfeast
102;Vanilla Milkshake - With Real Vanilla Extracts, Creamy & Smooth;Sunfeast
103;Dark Chocolate - Single Origin, India;Amul
104;UHT Cheese Slice - Made from Cow's Milk;Gowardhan
105;Cheese Slice;Go 
106;Chicken - Gizzard;Fresho
107;Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks;Bingo
108;Potato Chips - Cream & Onion;Bingo
109;Pumpkin - Disco;Fresho
110;Mutton - Curry Cut 500 g + Rohu Fish Large Curry Cut/Bengali Cut 500 g;Fresho
111;Instant Drink Mix - Lemon;Tang
112;Catla Fish Large - Curry Cut/Bengali Cut With Head & Tail, Preservative Free, 6-8 pcs;Fresho
113;Butter - Pasteurised;Fresho
114;Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut;BB Royal
115;Tiger Cookies - Krunch Chocochips, Teatime Snack;Britannia
116;Tiger Krunch - Chocochip Biscuits, Teatime Snack;Britannia
117;Tiger Krunch Biscuits;Britannia
118;Waffy Wafers - Vanilla Flavoured, Creamy & Crunchy;Dukes
119;Strawberry Milkshake - With Zinc, Vitamin A & D Added, Immunity Booster;Cavins
120;Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free;Fresho Signature
121;Cheese Slices - Made From Cow Milk 663 g Pouch + Cheese Spread - Classic 100 g;Britannia
122;Penne Pasta;Keya
123;Cheese Slices - Made From Cow Milk 663 g + Cheese Spread - Cream Cheese 100 g;Britannia
124;Waffy Wafers - Chocolate Flavoured Creamy & Crunchy;Dukes
125;Waffy Wafers - Strawberry Flavoured, Creamy & Crunchy;Dukes
126;Waffy Wafers - Pineapple Flavoured, Creamy & Crunchy;Dukes
127;Rings - Tomato Twist;Too Yumm!
128;Mutton - Curry Cut 500 g + Mutton Seekh Kabab Regular 500 g;Fresho
129;Cold Extracted Juice - Mixed Fruit;Raw Pressery
130;Cold Extracted Juice - Pomegranate;Raw Pressery
131;Potato Chips;Sanjay 
132;Chicken Thigh - Boneless, Without Skin;Fresho
133;Quinoa Muesli - With Nuts & Seeds;GoodDiet
134;Choco Chip Cookies;Unibic
135;Red Velvet Sandwich Biscuit - Limited Edition, Yummy Treat;Cadbury Oreo
136;Chocobakes Choc Filled Cookies/Biscuits - Family Pack;Cadbury
137;Cookies - Assorted Flavours, Tasty Teatime Snack;Unibic
138;Oreo-Vanilla, Jumbo Pack, 500 g;Cadbury
139;Mackerel Fish - Large, Whole Cleaned, Preservative Free, 4 to 6 pcs;Fresho
140;Aamras Mango Fruit Juice;Paper Boat
141;Chicken Mixed - Boneless, Antibiotic Residue-Free, 6-10 pcs;Fresho
142;Oats Breakfast Cereal- Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook;BB Royal
143;Lettuce - Iceberg;Fresho
144;Moonfils - Orange Cream, Centre Filled Puff Rolls, Italian Recipe, Soft & Delicious;Bauli
145;Soya Drink Chocolate;Sofit 
146;Dipped Cookie, 150g + Chocobakes Choc Filled Cookies/Biscuits-Family Pack, 150g;Cadbury Oreo
147;Cookies - Honey Oatmeal;Unibic
148;Muesli - 20% Nuts Delight, Multigrain Breakfast Cereal, High In Iron & Fibre, Naturally Cholesterol Free;Kelloggs
149;Little Millet Noodles - No Maida, Not Fried;Slurrp Farm
150;3 Minute Breakfast - Khatta Meetha Poha;MTR
151;Organic Probiotic Curd - Good For Digestion, Wholesome;AKSHAYAKALPA
152;Lemon Grass;Fresho
153;Potato Chips - Indian Masala;Too Yumm!
154;Indian Masala Potato Chips - 40% Less Saturated Fat;Too Yumm!
