product_id;category_id
1;53
2;30
2;6
2;34
3;53
4;30
4;6
5;5
5;41
6;24
7;24
8;5
8;19
9;60
9;53
10;5
10;41
11;5
11;41
12;5
12;41
13;5
13;41
14;5
14;41
15;5
15;49
16;5
16;49
17;5
17;49
18;5
18;49
19;40
20;35
20;61
21;5
21;44
22;53
23;47
23;6
24;47
24;6
25;47
25;6
26;53
27;5
27;44
28;53
28;4
29;53
29;4
30;26
30;56
31;14
32;14
33;14
34;53
35;14
36;53
36;4
37;53
37;4
38;14
38;11
38;37
39;5
39;19
40;5
40;19
41;53
41;4
42;14
42;46
43;14
43;46
44;14
45;53
45;16
46;18
47;47
47;6
48;53
48;60
49;5
49;41
50;53
50;60
51;5
51;19
52;5
52;19
53;18
54;26
54;8
55;5
55;7
56;26
56;56
57;53
58;20
58;12
59;5
59;42
59;29
60;37
60;11
61;37
61;11
62;37
62;11
63;14
64;26
64;8
65;18
66;6
67;5
67;19
68;46
68;39
69;14
70;5
70;23
70;29
71;5
71;23
71;29
72;5
72;23
72;29
73;5
73;23
73;29
74;24
75;14
76;53
76;4
77;53
78;14
79;46
79;39
79;14
80;26
80;56
81;26
81;56
82;5
82;23
82;29
83;5
83;23
83;29
84;35
84;61
85;26
85;3
86;5
86;19
87;46
87;39
88;46
88;39
89;53
90;54
90;58
91;5
91;19
92;14
93;14
94;14
95;5
95;41
96;53
96;16
97;5
97;23
97;29
98;5
98;23
98;29
99;6
100;59
100;6
101;5
101;23
101;29
102;5
102;23
102;29
103;26
103;8
104;35
104;9
105;35
105;9
106;14
107;62
107;31
108;62
108;31
109;53
110;37
110;11
110;46
111;5
111;32
112;46
112;39
113;35
113;40
114;59
114;6
115;54
115;58
116;54
116;58
117;54
117;51
118;54
118;50
119;5
119;23
119;29
120;5
120;19
121;35
121;9
122;1
123;35
123;9
124;54
124;50
125;54
125;50
126;54
126;50
127;62
127;31
128;37
128;11
129;5
129;19
130;5
130;19
131;62
131;31
132;14
133;59
133;6
134;54
134;58
135;54
135;51
136;54
136;51
137;54
137;58
138;54
138;58
139;46
139;2
140;5
140;19
141;14
142;47
142;6
143;53
143;4
144;54
144;33
144;22
145;5
145;23
145;29
146;54
146;58
147;54
147;58
148;59
148;6
149;24
150;6
151;35
151;61
152;53
153;62
153;31
154;62
154;31
155;14
156;62
156;45
157;62
157;31
158;54
158;58
159;54
159;58
160;1
161;26
161;56
162;24
163;14
164;14
165;14
166;46
166;27
167;46
167;27
168;46
168;27
169;35
169;55
170;62
170;45
171;28
172;54
172;50
173;14
174;46
174;27
175;46
175;27
176;5
176;23
176;29
177;62
177;25
178;46
178;39
179;54
179;15
180;46
180;2
181;37
181;57
182;37
182;57
183;35
183;61
184;62
184;31
185;37
185;57
186;54
186;58
187;35
187;55
188;35
188;9
189;62
189;25
190;46
190;39
191;59
191;6
192;59
192;6
193;62
193;25
194;62
194;25
195;35
195;28
196;46
196;2
197;54
197;33
197;22
198;62
198;51
199;21
199;36
200;20
201;5
201;19
202;46
202;57
203;57
203;14
204;14
205;26
205;56
206;20
207;57
208;46
208;39
209;62
209;58
210;62
210;58
211;54
211;50
212;46
212;2
213;21
213;36
214;54
214;51
215;37
215;11
216;37
216;11
217;37
217;11
218;57
219;62
219;31
220;21
220;36
221;6
222;6
223;57
224;5
224;19
225;54
225;58
226;54
226;58
227;5
228;46
228;57
229;46
229;2
230;57
231;54
231;48
232;54
232;48
233;54
233;48
234;52
235;35
235;9
236;54
236;48
237;46
237;27
238;62
238;25
239;5
239;13
239;17
239;41
240;20
241;5
241;13
241;17
241;41
242;47
242;6
243;47
243;6
244;47
244;6
245;37
245;11
246;54
246;58
247;54
247;58
248;20
248;12
249;20
250;38
251;5
251;13
251;17
252;5
252;13
252;17
252;41
253;5
253;13
253;17
253;41
254;5
254;13
254;17
254;41
255;5
255;13
255;17
255;41
256;54
256;58
257;54
257;58
258;54
258;58
259;5
259;32
260;59
260;6
261;54
261;58
262;5
262;17
262;13
263;5
263;17
263;13
264;5
264;13
265;54
265;58
266;5
266;49
267;5
267;42
267;29
268;5
268;17
268;13
269;54
269;48
270;37
270;11
271;54
271;58
272;62
272;31
273;1
274;10
274;6
275;10
275;6
276;1
277;1
278;1
279;5
279;17
279;13
280;5
280;43
280;13
281;54
281;58
282;5
282;41
282;43
283;5
283;13
284;5
284;13
285;5
285;13
286;59
286;6
287;5
287;43
287;41
288;5
288;41
288;17
289;5
289;17
289;41
290;26
290;8
291;5
291;42
291;29
292;5
292;17
293;54
293;58
294;54
294;58
295;54
295;58
296;54
296;58
297;5
297;43
298;20
298;12
299;62
299;31
300;5
300;17
300;13
301;35
301;9
302;5
302;17
302;13
303;35
303;9
304;26
304;8
305;40
306;10
306;6
307;5
307;13
307;43
307;41
308;1
309;35
309;55
310;5
310;13
310;17
310;41
311;5
311;41
312;35
312;9
313;35
313;55
314;35
314;55
315;35
315;55
316;5
316;19
317;54
317;58
318;54
318;58
319;54
319;15
320;54
320;15
321;54
321;15
322;54
322;15
323;54
323;15
323;58
324;5
324;13
324;17
324;41
325;26
325;56
326;54
326;58
327;5
327;13
328;26
328;8
329;5
329;13
330;5
330;19
331;20
331;12
332;5
332;13
333;54
333;58
334;5
334;13
334;17
335;46
335;38
336;46
336;38
